Console Name,Game Name,Original Name
ARCADE,gunmast,gunmast.zip
ARCADE,gunnail,gunnail.zip
ARCADE,gunsmoke,gunsmoke.zip
ARCADE,guwange,guwange.zip
ARCADE,gwar,gwar.zip
ARCADE,hachamfb,hachamfb.zip
ARCADE,hachoo,hachoo.zip
ARCADE,hangon,hangon.zip
ARCADE,happy6,happy6.zip
ARCADE,hbarrel,hbarrel.zip
ARCADE,hedpanic,hedpanic.zip
ARCADE,hellfire,hellfire.zip
ARCADE,hharry,hharry.zip
ARCADE,histryma,histryma.zip
ARCADE,hook,hook.zip
ARCADE,hookj,hookj.zip
ARCADE,horekid,horekid.zip
ARCADE,hotdogst,hotdogst.zip
ARCADE,iganinju,iganinju.zip
ARCADE,ikari,ikari.zip
ARCADE,ikari3,ikari3.zip
ARCADE,imgfight,imgfight.zip
ARCADE,insectx,insectx.zip
ARCADE,inthunt,inthunt.zip
ARCADE,ironhors,ironhors.zip
ARCADE,jackal,jackal.zip
ARCADE,jchan,jchan.zip
ARCADE,jchan2,jchan2.zip
ARCADE,jjsquawk,jjsquawk.zip
ARCADE,joemacr,joemacr.zip
ARCADE,junglek,junglek.zip
ARCADE,kaiserkn,kaiserkn.zip
ARCADE,karatblz,karatblz.zip
ARCADE,karnov,karnov.zip
ARCADE,kbash,kbash.zip
ARCADE,kbash2,kbash2.zip
ARCADE,kengo,kengo.zip
ARCADE,ket,ket.zip
ARCADE,kicker,kicker.zip
ARCADE,kikikai,kikikai.zip
ARCADE,kingdmgp,kingdmgp.zip
ARCADE,knckhead,knckhead.zip
ARCADE,kodure,kodure.zip
ARCADE,ktiger,ktiger.zip
ARCADE,ktiger2,ktiger2.zip
ARCADE,kungfum,kungfum.zip
ARCADE,kurikint,kurikint.zip
ARCADE,lastday,lastday.zip
ARCADE,lastduel,lastduel.zip
ARCADE,ldrun,ldrun.zip
ARCADE,ldrun2,ldrun2.zip
ARCADE,ldrun3,ldrun3.zip
ARCADE,ldrun4,ldrun4.zip
ARCADE,legion,legion.zip
ARCADE,legionna,legionna.zip
ARCADE,lethalth,lethalth.zip
ARCADE,lgtnfght,lgtnfght.zip
ARCADE,lightbr,lightbr.zip
ARCADE,lkage,lkage.zip
ARCADE,loht,loht.zip
ARCADE,lwings,lwings.zip
ARCADE,machbrkr,machbrkr.zip
ARCADE,macross,macross.zip
ARCADE,macross2,macross2.zip
ARCADE,macrossp,macrossp.zip
ARCADE,madgear,madgear.zip
ARCADE,madmotor,madmotor.zip
ARCADE,madshark,madshark.zip
ARCADE,mahoudai,mahoudai.zip
ARCADE,mame2003plus cache6,MAME2003Plus_cache6.db
ARCADE,martmastc,martmastc.zip
ARCADE,mazinger,mazinger.zip
ARCADE,metafox,metafox.zip
ARCADE,metalb,metalb.zip
ARCADE,metamrph,metamrph.zip
ARCADE,metmqstr,metmqstr.zip
ARCADE,mia,mia.zip
ARCADE,midres,midres.zip
ARCADE,mirninja,mirninja.zip
ARCADE,mk,mk.zip
ARCADE,mk2,mk2.zip
ARCADE,mnight,mnight.zip
ARCADE,moo,moo.zip
ARCADE,moonwlkb,moonwlkb.zip
ARCADE,mrgoemon,mrgoemon.zip
ARCADE,mrjong,mrjong.zip
ARCADE,msgundam,msgundam.zip
ARCADE,mtlchamp,mtlchamp.zip
ARCADE,mugsmash,mugsmash.zip
ARCADE,mutantf,mutantf.zip
ARCADE,mwalk,mwalk.zip
ARCADE,mwarr,mwarr.zip
ARCADE,mx5000,mx5000.zip
ARCADE,mysticri,mysticri.zip
ARCADE,mystwarr,mystwarr.zip
ARCADE,narc,narc.zip
ARCADE,nastar,nastar.zip
ARCADE,nbajam,nbajam.zip
ARCADE,nbbatman,nbbatman.zip
ARCADE,nebulray,nebulray.zip
ARCADE,neobattl,neobattl.zip
ARCADE,neogeo,neogeo.zip
ARCADE,ninjak,ninjak.zip
ARCADE,ninjaw,ninjaw.zip
ARCADE,ninjemak,ninjemak.zip
ARCADE,nost,nost.zip
ARCADE,nrallyx,nrallyx.zip
ARCADE,nslasher,nslasher.zip
ARCADE,nslasherj,nslasherj.zip
ARCADE,nspirit,nspirit.zip
ARCADE,numanath,numanath.zip
ARCADE,omegaf,omegaf.zip
ARCADE,orunners,orunners.zip
ARCADE,oscar,oscar.zip
ARCADE,osman,osman.zip
ARCADE,outfxies,outfxies.zip
ARCADE,outrun,outrun.zip
ARCADE,outzone,outzone.zip
ARCADE,p47,p47.zip
ARCADE,p47aces,p47aces.zip
ARCADE,pacmania,pacmania.zip
ARCADE,parodius,parodius.zip
ARCADE,phelios,phelios.zip
ARCADE,pirates,pirates.zip
ARCADE,plegendsj,plegendsj.zip
ARCADE,plusalph,plusalph.zip
ARCADE,pollux,pollux.zip
ARCADE,pow,pow.zip
ARCADE,powerins,powerins.zip
ARCADE,prehisle,prehisle.zip
ARCADE,psychos,psychos.zip
ARCADE,punkshot,punkshot.zip
ARCADE,puzlstar,puzlstar.zip
ARCADE,puzzli2s,puzzli2s.zip
ARCADE,pwrinst2,pwrinst2.zip
ARCADE,rabbit,rabbit.zip
ARCADE,raiden,raiden.zip
ARCADE,raiden2,raiden2.zip
ARCADE,raidendx,raidendx.zip
ARCADE,rallyx,rallyx.zip
ARCADE,rambo3,rambo3.zip
ARCADE,raphero,raphero.zip
ARCADE,rastan,rastan.zip
ARCADE,redfoxwp2a,redfoxwp2a.zip
ARCADE,reikaids,reikaids.zip
ARCADE,ridingf,ridingf.zip
ARCADE,riotcity,riotcity.zip
ARCADE,robocop,robocop.zip
ARCADE,robocop2,robocop2.zip
ARCADE,robokid,robokid.zip
ARCADE,rohga,rohga.zip
ARCADE,rshark,rshark.zip
ARCADE,rthun2,rthun2.zip
ARCADE,rthunder,rthunder.zip
ARCADE,rtype,rtype.zip
ARCADE,rtype2,rtype2.zip
ARCADE,rtypeleo,rtypeleo.zip
ARCADE,rygar,rygar.zip
ARCADE,ryujin,ryujin.zip
ARCADE,ryukendn,ryukendn.zip
ARCADE,s1945,s1945.zip
ARCADE,s1945ii,s1945ii.zip
ARCADE,s1945iii,s1945iii.zip
ARCADE,sailormn,sailormn.zip
ARCADE,saiyugou,saiyugou.zip
ARCADE,salamand,salamand.zip
ARCADE,salmndr2,salmndr2.zip
ARCADE,samesame2,samesame2.zip
ARCADE,samsho2,samsho2.zip
ARCADE,samuraia,samuraia.zip
ARCADE,sandscrp,sandscrp.zip
ARCADE,sauro,sauro.zip
ARCADE,schmeisr,schmeisr.zip
ARCADE,sdgndmps,sdgndmps.zip
ARCADE,searchar,searchar.zip
ARCADE,searchey,searchey.zip
ARCADE,searchp2,searchp2.zip
ARCADE,sexyparo,sexyparo.zip
ARCADE,sf1,sf1.zip
ARCADE,sf2ce,sf2ce.zip
ARCADE,sftm,sftm.zip
ARCADE,shadfrce,shadfrce.zip
ARCADE,shadfrcej,shadfrcej.zip
ARCADE,shadowld,shadowld.zip
ARCADE,sharrier,sharrier.zip
ARCADE,shdancer,shdancer.zip
ARCADE,shinobi,shinobi.zip
ARCADE,shippumd,shippumd.zip
ARCADE,shogwarr,shogwarr.zip
ARCADE,sidearms,sidearms.zip
ARCADE,sidepckt,sidepckt.zip
ARCADE,silentd,silentd.zip
ARCADE,silkroad,silkroad.zip
ARCADE,silkworm,silkworm.zip
ARCADE,silvmil,silvmil.zip
ARCADE,skyadvnt,skyadvnt.zip
ARCADE,skyalert,skyalert.zip
ARCADE,skysmash,skysmash.zip
ARCADE,skysoldr,skysoldr.zip
ARCADE,slyspy,slyspy.zip
ARCADE,sngkace,sngkace.zip
ARCADE,snowbro2,snowbro2.zip
ARCADE,snowbro3,snowbro3.zip
ARCADE,snowbros,snowbros.zip
ARCADE,soldivid,soldivid.zip
ARCADE,solfigtr,solfigtr.zip
ARCADE,sonicbom,sonicbom.zip
ARCADE,sonicwi,sonicwi.zip
ARCADE,spacedx,spacedx.zip
ARCADE,spec2k,spec2k.zip
ARCADE,spinlbrk,spinlbrk.zip
ARCADE,splatter,splatter.zip
ARCADE,spy,spy.zip
ARCADE,srumbler,srumbler.zip
ARCADE,ssoldier,ssoldier.zip
ARCADE,ssrdrebc,ssrdrebc.zip
ARCADE,ssriders,ssriders.zip
ARCADE,sstriker,sstriker.zip
ARCADE,stagger1,stagger1.zip
ARCADE,stmblade,stmblade.zip
ARCADE,strahl,strahl.zip
ARCADE,stratof,stratof.zip
ARCADE,streetsm,streetsm.zip
ARCADE,superman,superman.zip
ARCADE,superx,superx.zip
ARCADE,suprtrio,suprtrio.zip
ARCADE,suratk,suratk.zip
ARCADE,survarts,survarts.zip
ARCADE,swatpolc,swatpolc.zip
ARCADE,syvalion,syvalion.zip
ARCADE,tankfrce,tankfrce.zip
ARCADE,taotaido,taotaido.zip
ARCADE,tattass,tattass.zip
ARCADE,tbyahhoo,tbyahhoo.zip
ARCADE,tdragon,tdragon.zip
ARCADE,tdragon2,tdragon2.zip
ARCADE,tdragonb,tdragonb.zip
ARCADE,tengai,tengai.zip
ARCADE,tengaij,tengaij.zip
ARCADE,terracre,terracre.zip
ARCADE,terraf,terraf.zip
ARCADE,tetris,tetris.zip
ARCADE,tfrceac,tfrceac.zip
ARCADE,tharrier,tharrier.zip
ARCADE,theroes,theroes.zip
ARCADE,thndrx2,thndrx2.zip
ARCADE,thndzone,thndzone.zip
ARCADE,thoop,thoop.zip
ARCADE,thunderx,thunderx.zip
ARCADE,thundfox,thundfox.zip
ARCADE,tigeroad,tigeroad.zip
ARCADE,timesold,timesold.zip
ARCADE,tkdensho,tkdensho.zip
ARCADE,tmnt,tmnt.zip
ARCADE,tmnt2,tmnt2.zip
ARCADE,tmnt22p,tmnt22p.zip
ARCADE,tmnt2p,tmnt2p.zip
ARCADE,tndrcade,tndrcade.zip
ARCADE,totcarn,totcarn.zip
ARCADE,trojan,trojan.zip
ARCADE,truxton,truxton.zip
ARCADE,truxton2,truxton2.zip
ARCADE,tturf,tturf.zip
ARCADE,tumblep,tumblep.zip
ARCADE,turbofrc,turbofrc.zip
ARCADE,twinactn,twinactn.zip
ARCADE,twineag2,twineag2.zip
ARCADE,twineagl,twineagl.zip
ARCADE,twinhawk,twinhawk.zip
