Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
GBA,boxpuzzle1,922 Box Puzzle.gba,24,puzzle1,73.4006993851,8,82
GG,superreturnofjedi1,Super Return of the Jedi.gg,35,superstarwarsreturnofjedi1,73.0142033309,27,82
FC,hudsoniadventureisland2,066 Hudson's Adventure Island II.nes,18,adventureisland2,67.7510501389,28,82
FC,hudsoniadventureisland3,067 Hudson's Adventure Island III.nes,18,adventureisland3,61.9601941457,21,82
MD,spidermanandvenomseparationanxiety1,284 Spider-Man and Venom-Separation Anxiety.bin,29,venomspidermanseparationanxiety1,66.9187064798,9,81
MD,joemaccavemanninja1,347 Joe & Mac Caveman Ninja.bin,29,cavemanninja1,65.6172924633,24,81
GBA,pokemonemeraldversion1,001 Pokemon Emerald Version.gba,24,pokemonemerald1,85.886235663,436,81
FC,championshipbowling1,223 Championship Bowling.nes,18,championshippool1,43.0,3,81
GBA,thekingoffighterex1,038 The king of the fighter EX2.gba,24,thekingoffightersexneoblood1,50.0523164425,8,81
GBC,pokemoncrystalversion1,011 Pokemon-Crystal Version.gbc,22,pokemoncrystal1,89.1541264227,280,81
GB,indianajonesandlastcrusade1,129 Indiana Jones and the Last Crusade.gb,33,indianajonesandlastcrusadetheactiongame1,74.9377964523,9,81
MD,indianajonesandlastcrusade1,073 Indiana Jones and the Last Crusade.bin,29,indianajonesandlastcrusadetheactiongame1,74.9377964523,9,81
MD,robocopistheterminator1,275 Robocop vs The Terminator.bin,29,robocopversusterminator1,87.2680335734,12,81
GBC,pokemonyellowversion1,010 Pokemon-Yellow Version.gbc,22,pokemonyellow1,82.9080888667,391,80
FC,titochaseii1,551 Taito Chase H.Q..nes,18,chaseii1,67.4953078325,14,80
FC,skateordie1,511 Skate or Die!.nes,18,skiordie1,69.6178962185,15,80
NEOGEO,jammers1,wjammers.zip,80,windjammers1,82.7351020188,21,80
GB,castlequest1,094 Castle Quest.gb,33,crystalquest1,59.0,0,80
GB,tinytoonadventures1,199 Tiny Toon Adventures 1.gb,33,spotincooladventures1,66.0,0,80
GBA,finalfantasyi1,058 Final Fantasy V.gba,24,finalfantasyiadvance1,84.745412357,14,80
GB,goal1,Goal!.gb,33,golf1,79.0,2,80
FC,doubledare1,262 Double Dare.nes,18,doubledribble1,70.9269986938,14,80
GG,luckydimecaperwithdonaldduck1,003 Lucky dime caper with donald duck.gg,35,theluckydimecaperstarringdonaldduck1,75.8538261939,11,80
GBC,pokemonsilverversion1,009 Pokemon-Silver Version.gbc,22,pokemonsilver1,88.1798338615,284,80
NEOGEO,magdrop2,magdrop2.zip,80,magicaldrop2,78.6645079649,6,80
MD,ghosthunter1,067 Ghost Hunter.bin,29,ghostbusters1,79.5555247124,11,80
GBA,herolegend1,925 Hero Legend.gba,24,izerogolegend1,73.1143327403,6,80
GBA,crashbandicoot1,021 Crash Bandicoot.gba,24,crashbandicoot2itraced1,73.6713163431,16,79
GBA,thelegendofzeldalinktothepast1,082 The Legend Of Zelda-Link To The Past.gba,24,thelegendofzeldaalinktopastfourswords1,85.936410925,20,79
MD,shadowblasters1,110 Shadow Blasters.bin,29,roadblasters1,69.9125365279,6,79
MD,jimpowerthearcadegame1,619 Jim Power - The Arcade Game.bin,29,tothearcadegame1,85.6689368415,5,79
FC,thelegendofkage1,064 The Legend of Kage.nes,18,thelegendofzelda1,80.8961242128,572,79
NEOGEO,resort1,lresort.zip,80,lastresort1,71.1255501265,6,78
GB,agrosoar1,056 Agro Soar.gb,33,aerostar1,64.0,0,78
FC,teamsuperbowl1,556 Tecmo Super Bowl.nes,18,teambowl1,75.2855427587,20,78
