Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
MD,Forgotten Worlds,028 Forgotten Worlds.bin,29,Another World,87.0547634419,151,62
MD,Forgotten Worlds,028 Forgotten Worlds.bin,29,Forgotten Worlds,69.4409547,17,100
GB,Fortified Zone,Fortified Zone.gb,33,Fortified Zone,66.0,1,100
FC,Friday the 13th,313 Friday the 13th.nes,18,Friday the 13th,54.6407663962,16,100
FC,G I Joe The Atlantis Factor,042 G-I-Joe-The Atlantis Factor.nes,18,G I Joe The Atlantis Factor,73.0189225409,8,100
GG,GG Shinobi 1,001 GG Shinobi 1.gg,35,Shinobi,58.7310216908,34,74
GG,GG Shinobi 2,001 GG Shinobi 2.gg,35,Shinobi,58.7310216908,34,74
MD,Gaiares,341 Gaiares.bin,29,Gargoyles,75.3548181079,6,62
MD,Gain Ground,342 Gain Ground.bin,29,Gain Ground,70.2639077914,11,100
MD,Galaxy Force II,407 Galaxy Force II.bin,29,Galaxy Force 2,74.9572841064,5,90
GBA,Galidor Defenders of the Outer Dimension,724 Galidor-Defenders of the Outer Dimension.gba,24,Defender of the Crown,70.5906034972,21,62
GB,Gargoyle s Quest Ghosts n Goblins,120 Gargoyle's Quest-Ghosts'n Goblins.gb,33,Gargoyle s Quest,68.6709545952,21,65
MD,Gargoyles,256 Gargoyles.bin,29,Gargoyles,75.3548181079,6,100
FC,Gauntlet,315 Gauntlet.nes,18,Gauntlet,66.8026606104,15,100
FC,Gauntlet,315 Gauntlet.nes,18,Gauntlet 2,69.4909471081,22,89
GB,Gauntlet II,121 Gauntlet II.gb,33,Gauntlet 2,69.4909471081,22,86
FC,Geimos,316 Geimos.nes,18,Xevious,60.3481046177,16,62
MD,General Chaos,066 General Chaos.bin,29,Eternal Champions,67.6277136176,18,67
MD,General Chaos,066 General Chaos.bin,29,General Chaos,60.4157258563,7,100
FC,George Foreman s KO Boxing,319 George Foreman's KO Boxing.nes,18,George Foreman s KO Boxing,53.0,1,100
MD,Ghost Hunter,067 Ghost Hunter.bin,29,Ghostbusters,79.5555247124,11,75
GBA,Ghost Rider,233 Ghost Rider.gba,24,Ghost Rider,64.0585356778,17,100
MD,Ghostbusters,068 Ghostbusters.bin,29,Ghostbusters,79.5555247124,11,100
FC,Ghostbusters 1,321 Ghostbusters 1.nes,18,Ghostbusters,72.2265496201,29,92
FC,Ghostbusters 1,321 Ghostbusters 1.nes,18,Ghostbusters 2,53.6769665978,7,93
FC,Ghostbusters 1,321 Ghostbusters 1.nes,18,New Ghostbusters 2,72.6539055892,7,81
FC,Ghostbusters 2,322 Ghostbusters 2.nes,18,Ghostbusters,72.2265496201,29,92
FC,Ghostbusters 2,322 Ghostbusters 2.nes,18,Ghostbusters 2,53.6769665978,7,100
FC,Ghostbusters 2,322 Ghostbusters 2.nes,18,New Ghostbusters 2,72.6539055892,7,88
GB,Ghostbusters 2,122 Ghostbusters 2.gb,33,New Ghostbusters 2,72.6539055892,7,88
GB,Ghostbusters 2,122 Ghostbusters 2.gb,33,The Real Ghostbusters,68.0,2,69
GBC,Ghosts  N Goblins,083 Ghosts 'N Goblins.gbc,22,Ghosts n Goblins,75.089228059,82,91
FC,Ghosts n Goblins,323 Ghosts'n Goblins.nes,18,Ghosts n Goblins,48.6025940577,9,100
FC,Ghosts n Goblins,323 Ghosts'n Goblins.nes,18,Ghosts n Goblins,75.089228059,82,100
MD,Ghouls n Ghosts,069 Ghouls'n Ghosts.bin,29,Ghouls n Ghosts,80.8681667468,62,100
GB,Goal,Goal!.gb,33,Golf,79.0,2,75
MD,Gods,552 Gods.bin,29,Gods,82.23843215,15,100
